"","death","cvd","resp","temp","rhum","time","year","month","day","season"
"57",107,39,18,36.5,99.25,57,1997,2,57,"Winter"
"58",123,37,19,34.5,86,58,1997,2,58,"Winter"
"59",124,51,12,37.5,87.625,59,1997,2,59,"Winter"
"60",125,57,7,45.5,89.25,60,1997,3,60,"Winter"
"61",108,46,13,35,76.5,61,1997,3,61,"Winter"
"62",114,53,6,33.5,80.875,62,1997,3,62,"Winter"
"63",104,50,10,38,78.625,63,1997,3,63,"Winter"
"64",120,54,15,33,82.25,64,1997,3,64,"Winter"
"65",134,63,11,26.5,58,65,1997,3,65,"Winter"
"66",101,40,10,35.5,68.875,66,1997,3,66,"Winter"
"67",102,42,7,39,82.875,67,1997,3,67,"Winter"
"68",125,54,12,37,76.875,68,1997,3,68,"Winter"
"69",119,45,7,44,54,69,1997,3,69,"Winter"
"70",115,46,9,37,65.875,70,1997,3,70,"Winter"
"71",121,54,9,33.5,70.75,71,1997,3,71,"Winter"
"72",112,45,15,37.5,84.375,72,1997,3,72,"Winter"
"73",127,52,8,26.5,71.875,73,1997,3,73,"Winter"
"74",99,43,9,19,59.875,74,1997,3,74,"Winter"
"75",125,51,11,24.5,62,75,1997,3,75,"Winter"
"76",115,53,9,45,71.625,76,1997,3,76,"Winter"
"77",113,58,14,33.5,80.75,77,1997,3,77,"Winter"
"78",105,38,7,35.5,54,78,1997,3,78,"Winter"
"79",113,42,12,46,63.25,79,1997,3,79,"Winter"
"80",120,41,11,53.5,62.25,80,1997,3,80,"Winter"
"81",105,52,7,37.5,77.25,81,1997,3,81,"Winter"
"82",119,45,10,32.5,68.875,82,1997,3,82,"Winter"
"83",147,67,12,33,78.75,83,1997,3,83,"Winter"
"84",123,53,9,40.5,69.5,84,1997,3,84,"Winter"
"85",108,46,4,44,50.75,85,1997,3,85,"Winter"
"86",117,60,11,60.5,42.5,86,1997,3,86,"Winter"
"87",110,46,5,55.5,87.375,87,1997,3,87,"Winter"
"88",106,37,8,43.5,97.5,88,1997,3,88,"Winter"
"89",96,36,14,37.5,89.5,89,1997,3,89,"Winter"
"90",119,56,8,38.5,54.625,90,1997,3,90,"Winter"
"91",119,54,12,44.5,41.375,91,1997,4,91,"Spring"
"92",99,42,6,53,31.75,92,1997,4,92,"Spring"
"93",120,62,7,59.5,72.5,93,1997,4,93,"Spring"
"94",130,52,11,62.5,60.125,94,1997,4,94,"Spring"
"95",97,46,9,60.5,85.75,95,1997,4,95,"Spring"
"96",105,50,1,45,62.75,96,1997,4,96,"Spring"
"97",102,47,9,34,45.625,97,1997,4,97,"Spring"
"98",104,47,6,28.5,48.75,98,1997,4,98,"Spring"
"99",137,53,13,30,63,99,1997,4,99,"Spring"
"100",111,47,10,30.5,60.375,100,1997,4,100,"Spring"
"101",108,43,12,33.5,94,101,1997,4,101,"Spring"
"102",96,44,10,33.5,91.75,102,1997,4,102,"Spring"
"103",100,41,8,38.5,55.125,103,1997,4,103,"Spring"
"104",105,41,15,41.5,52.875,104,1997,4,104,"Spring"
"105",128,63,5,49,44.875,105,1997,4,105,"Spring"
"106",120,58,15,43,61.375,106,1997,4,106,"Spring"
"107",98,41,12,40.5,61.25,107,1997,4,107,"Spring"
"108",118,56,10,40,67.75,108,1997,4,108,"Spring"
"109",94,37,9,45.5,53.25,109,1997,4,109,"Spring"
"110",117,45,12,49,71.875,110,1997,4,110,"Spring"
"111",121,43,13,45,64.125,111,1997,4,111,"Spring"
"112",110,51,9,43,63.75,112,1997,4,112,"Spring"
"113",110,54,8,48.5,62.625,113,1997,4,113,"Spring"
"114",108,53,7,47.5,67.375,114,1997,4,114,"Spring"
"115",121,46,6,48,44.625,115,1997,4,115,"Spring"
"116",114,43,10,49.5,30,116,1997,4,116,"Spring"
"117",116,47,14,47.5,79.5,117,1997,4,117,"Spring"
"118",109,52,6,50.5,58.375,118,1997,4,118,"Spring"
"119",123,51,14,60,44.5,119,1997,4,119,"Spring"
"120",115,50,5,55,90.5,120,1997,4,120,"Spring"
"121",101,40,15,48.5,54.625,121,1997,5,121,"Spring"
"122",118,51,5,48.5,99,122,1997,5,122,"Spring"
"123",100,47,10,49,75.875,123,1997,5,123,"Spring"
"124",126,55,11,51.5,41.75,124,1997,5,124,"Spring"
"125",126,58,2,62,41.75,125,1997,5,125,"Spring"
"126",121,49,10,55.5,39.125,126,1997,5,126,"Spring"
"127",114,43,9,52.5,89.125,127,1997,5,127,"Spring"
"128",112,46,7,61,54.125,128,1997,5,128,"Spring"
"129",111,44,13,50.5,57.375,129,1997,5,129,"Spring"
"130",111,43,9,52.5,50.5,130,1997,5,130,"Spring"
"131",107,37,17,59.5,59.25,131,1997,5,131,"Spring"
"132",124,53,4,52.5,46.125,132,1997,5,132,"Spring"
"133",104,40,14,45.5,70.375,133,1997,5,133,"Spring"
"134",107,41,12,49.5,76.25,134,1997,5,134,"Spring"
"135",109,42,9,45,61.625,135,1997,5,135,"Spring"
"136",133,50,6,51,42.5,136,1997,5,136,"Spring"
"137",108,52,5,50.5,74.125,137,1997,5,137,"Spring"
"138",109,41,9,59.5,85,138,1997,5,138,"Spring"
"139",96,40,7,54,69.75,139,1997,5,139,"Spring"
"140",118,58,8,51.5,57,140,1997,5,140,"Spring"
"141",111,47,11,48,61.125,141,1997,5,141,"Spring"
"142",107,32,10,50.5,47,142,1997,5,142,"Spring"
"143",106,39,9,58,42.75,143,1997,5,143,"Spring"
"144",101,46,7,68.5,80.625,144,1997,5,144,"Spring"
"145",107,40,5,50,85.75,145,1997,5,145,"Spring"
"146",109,39,9,50,54.875,146,1997,5,146,"Spring"
"147",100,39,10,56,56.25,147,1997,5,147,"Spring"
"148",109,51,13,58.5,96.625,148,1997,5,148,"Spring"
"149",92,28,4,58,79.875,149,1997,5,149,"Spring"
"150",114,44,6,61,67,150,1997,5,150,"Spring"
"151",110,40,14,59,85.125,151,1997,5,151,"Spring"
"152",99,33,5,60.5,69.125,152,1997,6,152,"Spring"
"153",100,42,4,58,84,153,1997,6,153,"Spring"
"154",104,42,6,61.5,73,154,1997,6,154,"Spring"
"155",94,38,4,59,53,155,1997,6,155,"Spring"
"156",114,49,11,62,67.25,156,1997,6,156,"Spring"
"157",114,48,12,63.5,88.5,157,1997,6,157,"Spring"
"158",117,47,8,58.5,91.75,158,1997,6,158,"Spring"
"159",97,45,5,61,68.5,159,1997,6,159,"Spring"
"160",102,39,10,62.5,60.5,160,1997,6,160,"Spring"
"161",95,41,5,66.5,54.625,161,1997,6,161,"Spring"
"162",115,38,7,67.5,83.125,162,1997,6,162,"Spring"
"163",105,50,6,70,78.75,163,1997,6,163,"Spring"
"164",98,30,8,71,70.875,164,1997,6,164,"Spring"
"165",94,28,10,56.5,54.625,165,1997,6,165,"Spring"
"166",126,47,8,63,53.875,166,1997,6,166,"Spring"
"167",115,39,13,67,64.375,167,1997,6,167,"Spring"
"168",110,46,12,60.5,72.625,168,1997,6,168,"Spring"
"169",94,36,4,67,75,169,1997,6,169,"Spring"
"170",94,34,7,70,65.375,170,1997,6,170,"Spring"
"171",112,47,4,81.5,77.125,171,1997,6,171,"Spring"
"172",106,49,7,75.5,72.5,172,1997,6,172,"Spring"
"173",97,44,8,77,66.25,173,1997,6,173,"Spring"
"174",99,47,5,82.5,61.125,174,1997,6,174,"Spring"
"175",94,31,7,84,39.375,175,1997,6,175,"Spring"
"176",124,59,6,78,57.625,176,1997,6,176,"Spring"
"177",97,46,11,73.5,58,177,1997,6,177,"Spring"
"178",120,44,11,72.5,54.125,178,1997,6,178,"Spring"
"179",96,42,4,74,57.875,179,1997,6,179,"Spring"
"180",95,31,8,75,59.625,180,1997,6,180,"Spring"
"181",114,61,7,76,90.875,181,1997,6,181,"Spring"
"182",121,51,8,77.5,65.375,182,1997,7,182,"Summer"
"183",108,41,5,79.5,53,183,1997,7,183,"Summer"
"184",98,45,6,68.5,61.375,184,1997,7,184,"Summer"
"185",98,40,11,61.5,68.75,185,1997,7,185,"Summer"
"186",109,41,10,65.5,50.875,186,1997,7,186,"Summer"
"187",106,38,15,70,68.25,187,1997,7,187,"Summer"
"188",107,40,11,65.5,61.75,188,1997,7,188,"Summer"
"189",95,41,11,71,82.875,189,1997,7,189,"Summer"
"190",86,33,5,62,64.25,190,1997,7,190,"Summer"
"191",106,35,15,64.5,52.875,191,1997,7,191,"Summer"
"192",98,42,6,68.5,61.375,192,1997,7,192,"Summer"
"193",98,41,7,74.5,57.875,193,1997,7,193,"Summer"
"194",115,43,10,82.5,61.875,194,1997,7,194,"Summer"
"195",114,58,8,83,55.5,195,1997,7,195,"Summer"
"196",96,40,9,79,53,196,1997,7,196,"Summer"
"197",92,33,4,82.5,42.875,197,1997,7,197,"Summer"
"198",103,46,5,84,61.75,198,1997,7,198,"Summer"
"199",101,47,7,79,94.5,199,1997,7,199,"Summer"
"200",106,57,6,74.5,67.5,200,1997,7,200,"Summer"
"201",108,51,9,76.5,68.875,201,1997,7,201,"Summer"
"202",90,32,9,72,94.875,202,1997,7,202,"Summer"
"203",89,44,8,69,85.375,203,1997,7,203,"Summer"
"204",102,31,7,69,72.875,204,1997,7,204,"Summer"
"205",114,64,5,72.5,71.25,205,1997,7,205,"Summer"
"206",95,42,5,76,79.25,206,1997,7,206,"Summer"
"207",110,43,10,85.5,81.875,207,1997,7,207,"Summer"
"208",86,33,7,81.5,74.75,208,1997,7,208,"Summer"
"209",109,55,7,74.5,63.375,209,1997,7,209,"Summer"
"210",108,49,3,66.5,56.375,210,1997,7,210,"Summer"
"211",99,42,3,68.5,58.5,211,1997,7,211,"Summer"
"212",116,55,6,69,56.125,212,1997,7,212,"Summer"
"213",105,50,2,74.5,51,213,1997,8,213,"Summer"
"214",108,45,10,81.5,50.75,214,1997,8,214,"Summer"
"215",102,32,8,78,72.875,215,1997,8,215,"Summer"
"216",81,43,5,71,71.25,216,1997,8,216,"Summer"
"217",94,40,6,62.5,54.75,217,1997,8,217,"Summer"
"218",69,35,4,64.5,56.625,218,1997,8,218,"Summer"
"219",121,43,6,67,63,219,1997,8,219,"Summer"
"220",88,34,5,69.5,51.125,220,1997,8,220,"Summer"
"221",100,34,7,70.5,87.5,221,1997,8,221,"Summer"
"222",126,53,7,75.5,74.5,222,1997,8,222,"Summer"
"223",106,37,6,67.5,90.375,223,1997,8,223,"Summer"
"224",111,39,7,69.5,92.75,224,1997,8,224,"Summer"
"225",94,43,5,68.5,76.125,225,1997,8,225,"Summer"
"226",96,40,10,65.5,75.5,226,1997,8,226,"Summer"
"227",101,37,4,77,77.625,227,1997,8,227,"Summer"
"228",92,39,10,80,92.125,228,1997,8,228,"Summer"
"229",99,42,8,68.5,95.125,229,1997,8,229,"Summer"
"230",107,43,4,63.5,72.875,230,1997,8,230,"Summer"
"231",112,55,6,64,77.5,231,1997,8,231,"Summer"
"232",106,41,5,67,75.75,232,1997,8,232,"Summer"
"233",98,46,5,63.5,66.375,233,1997,8,233,"Summer"
"234",99,47,10,64,71.75,234,1997,8,234,"Summer"
"235",103,38,13,65.5,68.375,235,1997,8,235,"Summer"
"236",96,42,6,70.5,83.625,236,1997,8,236,"Summer"
"237",110,50,7,65.5,82.75,237,1997,8,237,"Summer"
"238",104,42,15,69,76.625,238,1997,8,238,"Summer"
"239",100,44,14,77,77.5,239,1997,8,239,"Summer"
"240",109,55,5,68.5,77.5,240,1997,8,240,"Summer"
"241",97,42,3,67,75.875,241,1997,8,241,"Summer"
"242",87,34,5,65,88.5,242,1997,8,242,"Summer"
"243",101,45,5,72,74.75,243,1997,8,243,"Summer"
"244",94,48,6,70.5,77.125,244,1997,9,244,"Summer"
"245",93,35,8,68,66.5,245,1997,9,245,"Summer"
"246",82,37,3,58.5,71.125,246,1997,9,246,"Summer"
"247",111,46,6,59,59.75,247,1997,9,247,"Summer"
"248",93,30,12,60.5,54.75,248,1997,9,248,"Summer"
"249",119,45,6,74.5,67,249,1997,9,249,"Summer"
"250",95,49,8,66,85.5,250,1997,9,250,"Summer"
"251",101,44,12,67.5,88.125,251,1997,9,251,"Summer"
"252",103,52,4,68.5,83.5,252,1997,9,252,"Summer"
"253",103,44,7,64.5,78.25,253,1997,9,253,"Summer"
"254",100,46,6,61.5,77.625,254,1997,9,254,"Summer"
"255",89,50,6,61.5,67.625,255,1997,9,255,"Summer"
"256",113,42,7,63.5,71.25,256,1997,9,256,"Summer"
"257",110,47,4,69,80.5,257,1997,9,257,"Summer"
"258",120,48,10,69.5,81.5,258,1997,9,258,"Summer"
"259",104,42,7,74.5,73.875,259,1997,9,259,"Summer"
"260",99,40,8,70,56.125,260,1997,9,260,"Summer"
"261",87,39,4,69,41.75,261,1997,9,261,"Summer"
"262",94,46,5,73,96.375,262,1997,9,262,"Summer"
"263",109,40,9,58.5,74.875,263,1997,9,263,"Summer"
"264",110,36,9,57,67.5,264,1997,9,264,"Summer"
"265",97,40,6,57.5,79.125,265,1997,9,265,"Summer"
"266",103,40,14,59,71.125,266,1997,9,266,"Summer"
"267",101,47,7,56.5,66.25,267,1997,9,267,"Summer"
"268",111,50,4,66,68.625,268,1997,9,268,"Summer"
"269",103,38,6,60,78.25,269,1997,9,269,"Summer"
"270",115,49,9,62.5,63,270,1997,9,270,"Summer"
"271",86,40,8,64,60.5,271,1997,9,271,"Summer"
"272",103,42,5,65,45.375,272,1997,9,272,"Summer"
"273",112,49,13,59.5,65.125,273,1997,9,273,"Summer"
"274",101,46,9,52,76.625,274,1997,10,274,"Autumn"
"275",104,53,10,61,48.5,275,1997,10,275,"Autumn"
"276",117,47,7,73,54,276,1997,10,276,"Autumn"
"277",107,36,12,68,77.375,277,1997,10,277,"Autumn"
"278",113,58,7,70,48.125,278,1997,10,278,"Autumn"
"279",100,47,5,70.5,60,279,1997,10,279,"Autumn"
"280",132,57,15,73.5,61.75,280,1997,10,280,"Autumn"
"281",119,49,7,72.5,56.125,281,1997,10,281,"Autumn"
"282",109,40,8,64,59.5,282,1997,10,282,"Autumn"
"283",101,44,6,59,70,283,1997,10,283,"Autumn"
"284",109,44,6,61.5,44.5,284,1997,10,284,"Autumn"
"285",116,51,9,70,49.875,285,1997,10,285,"Autumn"
"286",108,36,14,59.5,70.625,286,1997,10,286,"Autumn"
"287",108,46,16,42.5,64.75,287,1997,10,287,"Autumn"
"288",95,38,8,42.5,61.625,288,1997,10,288,"Autumn"
"289",107,47,7,47.5,72.625,289,1997,10,289,"Autumn"
"290",93,39,8,45.5,85.125,290,1997,10,290,"Autumn"
"291",118,46,13,44.5,70.5,291,1997,10,291,"Autumn"
"292",101,42,5,50,68.25,292,1997,10,292,"Autumn"
"293",105,44,4,45.5,65,293,1997,10,293,"Autumn"
"294",135,59,7,42.5,42.5,294,1997,10,294,"Autumn"
"295",106,47,5,36,63.125,295,1997,10,295,"Autumn"
"296",109,44,12,44.5,53.625,296,1997,10,296,"Autumn"
"297",128,47,8,46,85,297,1997,10,297,"Autumn"
"298",112,56,10,47,74.125,298,1997,10,298,"Autumn"
"299",109,42,7,40,93.5,299,1997,10,299,"Autumn"
"300",128,53,7,32.5,83.428571429,300,1997,10,300,"Autumn"
"301",128,47,13,39,66.875,301,1997,10,301,"Autumn"
"302",106,41,8,44,72,302,1997,10,302,"Autumn"
"303",128,52,10,51,72.5,303,1997,10,303,"Autumn"
"304",130,56,5,59.5,79.25,304,1997,10,304,"Autumn"
"305",117,55,9,50,71.625,305,1997,11,305,"Autumn"
"306",111,42,15,38.5,81.875,306,1997,11,306,"Autumn"
"307",118,39,15,36.5,89.125,307,1997,11,307,"Autumn"
"308",103,45,8,39,86.625,308,1997,11,308,"Autumn"
"309",99,47,6,40,86.375,309,1997,11,309,"Autumn"
"310",125,48,12,45,78.875,310,1997,11,310,"Autumn"
"311",119,45,9,43,79.25,311,1997,11,311,"Autumn"
"312",117,41,11,44,69.625,312,1997,11,312,"Autumn"
"313",120,51,9,42.5,75.25,313,1997,11,313,"Autumn"
"314",121,59,2,36.5,60.5,314,1997,11,314,"Autumn"
"315",93,49,5,28.5,63.375,315,1997,11,315,"Autumn"
"316",103,48,10,26.5,64.125,316,1997,11,316,"Autumn"
"317",108,47,10,31.5,57.375,317,1997,11,317,"Autumn"
"318",122,56,8,36,85.5,318,1997,11,318,"Autumn"
"319",115,44,12,29,85.375,319,1997,11,319,"Autumn"
"320",112,59,3,22,78.75,320,1997,11,320,"Autumn"
"321",114,48,5,25.5,76.125,321,1997,11,321,"Autumn"
"322",112,53,10,32,71.875,322,1997,11,322,"Autumn"
"323",118,59,3,27.5,79.625,323,1997,11,323,"Autumn"
"324",125,43,11,33.5,89.125,324,1997,11,324,"Autumn"
"325",140,60,11,35.5,81,325,1997,11,325,"Autumn"
"326",106,48,10,34.5,77.625,326,1997,11,326,"Autumn"
"327",114,59,8,26,70.875,327,1997,11,327,"Autumn"
"328",111,54,9,26.5,56,328,1997,11,328,"Autumn"
"329",94,52,7,47,67.375,329,1997,11,329,"Autumn"
"330",111,53,5,43,51.375,330,1997,11,330,"Autumn"
"331",95,39,10,37.5,88.125,331,1997,11,331,"Autumn"
"332",136,58,11,49,98.5,332,1997,11,332,"Autumn"
"333",109,53,6,45.5,99.625,333,1997,11,333,"Autumn"
"334",95,46,10,42,74.75,334,1997,11,334,"Autumn"
"335",122,54,13,37,82.25,335,1997,12,335,"Autumn"
"336",108,49,8,36.5,76.375,336,1997,12,336,"Autumn"
"337",127,54,17,36.5,90.5,337,1997,12,337,"Autumn"
"338",120,50,13,32,71.75,338,1997,12,338,"Autumn"
"339",109,46,8,26,76.75,339,1997,12,339,"Autumn"
"340",115,49,8,28.5,78.875,340,1997,12,340,"Autumn"
"341",101,52,6,30,87,341,1997,12,341,"Autumn"
"342",116,51,13,28.5,86.375,342,1997,12,342,"Autumn"
"343",85,33,8,33,84.75,343,1997,12,343,"Autumn"
"344",125,57,12,34.5,89.125,344,1997,12,344,"Autumn"
"345",109,49,7,33.5,73.5,345,1997,12,345,"Autumn"
"346",108,39,11,27.5,82.75,346,1997,12,346,"Autumn"
"347",119,45,13,26.5,82,347,1997,12,347,"Autumn"
"348",104,42,5,31,77.625,348,1997,12,348,"Autumn"
"349",118,49,8,37.5,71.25,349,1997,12,349,"Autumn"
"350",119,45,9,39,79.25,350,1997,12,350,"Autumn"
"351",112,48,11,37,66.5,351,1997,12,351,"Autumn"
"352",118,54,11,38.5,75.625,352,1997,12,352,"Autumn"
"353",106,54,9,40.5,78.125,353,1997,12,353,"Autumn"
"354",94,43,7,33,71.125,354,1997,12,354,"Autumn"
"355",136,57,8,32.5,72.75,355,1997,12,355,"Autumn"
"356",120,53,8,34.5,94.25,356,1997,12,356,"Autumn"
"357",124,54,11,34,78.125,357,1997,12,357,"Autumn"
"358",104,43,6,34,91.125,358,1997,12,358,"Autumn"
"359",122,55,13,30.5,83.375,359,1997,12,359,"Autumn"
"360",119,53,15,28.5,88,360,1997,12,360,"Autumn"
"361",132,56,20,23,75.25,361,1997,12,361,"Autumn"
"362",111,40,11,25.5,83.125,362,1997,12,362,"Autumn"
"363",119,52,10,29.5,85,363,1997,12,363,"Autumn"
"364",112,49,11,21.5,78.25,364,1997,12,364,"Autumn"
"365",127,60,19,18,67.5,365,1997,12,365,"Autumn"
"366",108,43,10,28,NA,366,1998,1,1,"Winter"
"367",136,61,9,44,NA,367,1998,1,2,"Winter"
"368",128,53,10,47,NA,368,1998,1,3,"Winter"
"369",145,65,10,45,NA,369,1998,1,4,"Winter"
"370",120,54,16,48,NA,370,1998,1,5,"Winter"
"371",144,68,11,43,NA,371,1998,1,6,"Winter"
"372",110,53,13,38,NA,372,1998,1,7,"Winter"
"373",107,47,11,34,NA,373,1998,1,8,"Winter"
"374",123,53,10,25,NA,374,1998,1,9,"Winter"
"375",107,47,15,12,NA,375,1998,1,10,"Winter"
"376",112,61,9,18,NA,376,1998,1,11,"Winter"
"377",131,60,13,23,NA,377,1998,1,12,"Winter"
"378",108,47,7,7,NA,378,1998,1,13,"Winter"
"379",135,52,17,17,NA,379,1998,1,14,"Winter"
"380",132,59,10,28,NA,380,1998,1,15,"Winter"
"381",143,57,18,28,NA,381,1998,1,16,"Winter"
"382",127,55,14,23,NA,382,1998,1,17,"Winter"
"383",141,59,14,16,NA,383,1998,1,18,"Winter"
"384",135,64,14,24,NA,384,1998,1,19,"Winter"
"385",123,66,13,26,NA,385,1998,1,20,"Winter"
"386",119,54,15,31,NA,386,1998,1,21,"Winter"
"387",124,44,13,32,NA,387,1998,1,22,"Winter"
"388",125,58,11,28,NA,388,1998,1,23,"Winter"
"389",152,70,19,28,NA,389,1998,1,24,"Winter"
"390",139,62,14,28,NA,390,1998,1,25,"Winter"
"391",153,49,17,31,NA,391,1998,1,26,"Winter"
"392",120,51,10,33,NA,392,1998,1,27,"Winter"
"393",123,49,16,36,NA,393,1998,1,28,"Winter"
"394",110,44,13,37,NA,394,1998,1,29,"Winter"
"395",138,63,12,31,NA,395,1998,1,30,"Winter"
"396",132,58,12,35,NA,396,1998,1,31,"Winter"
"397",142,57,18,39,NA,397,1998,2,32,"Winter"
"398",120,42,11,33,NA,398,1998,2,33,"Winter"
"399",86,41,8,34,NA,399,1998,2,34,"Winter"
"400",120,42,14,32,NA,400,1998,2,35,"Winter"
"401",121,62,12,32,NA,401,1998,2,36,"Winter"
"402",124,67,13,36,NA,402,1998,2,37,"Winter"
"403",122,47,15,34,NA,403,1998,2,38,"Winter"
"404",110,47,10,33,NA,404,1998,2,39,"Winter"
"405",123,50,16,35,NA,405,1998,2,40,"Winter"
"406",125,53,10,39,NA,406,1998,2,41,"Winter"
"407",136,61,12,41,NA,407,1998,2,42,"Winter"
"408",116,47,13,35,NA,408,1998,2,43,"Winter"
"409",119,48,13,36,NA,409,1998,2,44,"Winter"
"410",135,54,11,38,NA,410,1998,2,45,"Winter"
"411",125,48,9,43,NA,411,1998,2,46,"Winter"
"412",129,64,10,42,NA,412,1998,2,47,"Winter"
"413",116,49,13,41,NA,413,1998,2,48,"Winter"
"414",108,44,11,39,NA,414,1998,2,49,"Winter"
"415",113,40,13,40,NA,415,1998,2,50,"Winter"
"416",110,57,11,39,NA,416,1998,2,51,"Winter"
"417",110,44,16,38,NA,417,1998,2,52,"Winter"
"418",116,54,11,44,NA,418,1998,2,53,"Winter"
"419",139,67,17,41,NA,419,1998,2,54,"Winter"
"420",135,57,19,45,NA,420,1998,2,55,"Winter"
"421",114,42,15,42,NA,421,1998,2,56,"Winter"
"422",127,54,11,54,NA,422,1998,2,57,"Winter"
"423",107,44,13,42,NA,423,1998,2,58,"Winter"
"424",132,59,13,41,NA,424,1998,2,59,"Winter"
"425",120,44,19,35,NA,425,1998,3,60,"Winter"
"426",115,52,10,33,NA,426,1998,3,61,"Winter"
"427",123,40,14,34,NA,427,1998,3,62,"Winter"
"428",114,45,5,34,NA,428,1998,3,63,"Winter"
"429",110,44,9,36,NA,429,1998,3,64,"Winter"
"430",91,42,3,34,NA,430,1998,3,65,"Winter"
"431",125,62,17,36,NA,431,1998,3,66,"Winter"
"432",121,57,16,38,NA,432,1998,3,67,"Winter"
"433",131,62,13,26,NA,433,1998,3,68,"Winter"
"434",134,62,8,18,NA,434,1998,3,69,"Winter"
"435",123,56,11,18,NA,435,1998,3,70,"Winter"
"436",104,51,7,18,NA,436,1998,3,71,"Winter"
"437",134,52,8,29,NA,437,1998,3,72,"Winter"
"438",132,53,18,28,NA,438,1998,3,73,"Winter"
"439",90,39,9,27,NA,439,1998,3,74,"Winter"
"440",134,63,16,30,NA,440,1998,3,75,"Winter"
"441",97,34,11,36,NA,441,1998,3,76,"Winter"
"442",115,47,9,45,NA,442,1998,3,77,"Winter"
"443",128,64,6,37,NA,443,1998,3,78,"Winter"
"444",102,37,12,35,NA,444,1998,3,79,"Winter"
"445",116,52,7,37,NA,445,1998,3,80,"Winter"
"446",89,30,8,36,NA,446,1998,3,81,"Winter"
"447",119,54,12,38,NA,447,1998,3,82,"Winter"
"448",138,67,6,40,NA,448,1998,3,83,"Winter"
"449",124,43,13,51,NA,449,1998,3,84,"Winter"
"450",126,47,11,68,NA,450,1998,3,85,"Winter"
"451",120,48,7,67,NA,451,1998,3,86,"Winter"
"452",128,52,7,57,NA,452,1998,3,87,"Winter"
"453",107,48,10,62,NA,453,1998,3,88,"Winter"
"454",106,48,3,73,NA,454,1998,3,89,"Winter"
