"species" "island" "culmen_length_mm" "culmen_depth_mm" "flipper_length_mm" "body_mass_g" "sex"
"Gentoo" "Biscoe" 52.5 15.6 221 5450 "MALE"
"Adelie" "Torgersen" 41.4 18.5 202 3875 "MALE"
"Adelie" "Dream" 41.1 18.1 205 4300 "MALE"
"Adelie" "Biscoe" 38.2 20 190 3900 "MALE"
"Gentoo" "Biscoe" 46.1 15.1 215 5100 "MALE"
"Chinstrap" "Dream" 49.3 19.9 203 4050 "MALE"
"Adelie" "Biscoe" 41.1 19.1 188 4100 "MALE"
"Gentoo" "Biscoe" 51.3 14.2 218 5300 "MALE"
"Gentoo" "Biscoe" 45.5 15 220 5000 "MALE"
"Gentoo" "Biscoe" 49.5 16.2 229 5800 "MALE"
"Adelie" "Dream" 40.7 17 190 3725 "MALE"
"Gentoo" "Biscoe" 47.6 14.5 215 5400 "MALE"
"Adelie" "Dream" 39.2 21.1 196 4150 "MALE"
"Adelie" "Biscoe" 40.6 18.6 183 3550 "MALE"
"Adelie" "Torgersen" 44.1 18 210 4000 "MALE"
"Adelie" "Biscoe" 41.3 21.1 195 4400 "MALE"
"Chinstrap" "Dream" 49.2 18.2 195 4400 "MALE"
"Chinstrap" "Dream" 51.9 19.5 206 3950 "MALE"
"Gentoo" "Biscoe" 48.4 16.3 220 5400 "MALE"
"Adelie" "Dream" 37.2 18.1 178 3900 "MALE"
"Adelie" "Torgersen" 45.8 18.9 197 4150 "MALE"
"Adelie" "Torgersen" 39.3 20.6 190 3650 "MALE"
"Adelie" "Dream" 44.1 19.7 196 4400 "MALE"
"Adelie" "Biscoe" 39.7 18.9 184 3550 "MALE"
"Adelie" "Dream" 42.3 21.2 191 4150 "MALE"
"Adelie" "Torgersen" 39.2 19.6 195 4675 "MALE"
"Adelie" "Torgersen" 42.5 20.7 197 4500 "MALE"
"Adelie" "Dream" 41.1 17.5 190 3900 "MALE"
"Chinstrap" "Dream" 49.5 19 200 3800 "MALE"
"Adelie" "Dream" 40.8 18.9 208 4300 "MALE"
"Chinstrap" "Dream" 50.6 19.4 193 3800 "MALE"
"Adelie" "Biscoe" 41 20 203 4725 "MALE"
"Adelie" "Biscoe" 42.7 18.3 196 4075 "MALE"
"Adelie" "Biscoe" 42 19.5 200 4050 "MALE"
"Gentoo" "Biscoe" 51.1 16.3 220 6000 "MALE"
"Chinstrap" "Dream" 50 19.5 196 3900 "MALE"
"Gentoo" "Biscoe" 48.1 15.1 209 5500 "MALE"
"Adelie" "Biscoe" 41.4 18.6 191 3700 "MALE"
"Gentoo" "Biscoe" 46.4 15.6 221 5000 "MALE"
"Gentoo" "Biscoe" 46.8 16.1 215 5500 "MALE"
"Adelie" "Biscoe" 37.7 18.7 180 3600 "MALE"
"Adelie" "Torgersen" 37.7 19.8 198 3500 "MALE"
"Adelie" "Dream" 39.8 19.1 184 4650 "MALE"
"Gentoo" "Biscoe" 59.6 17 230 6050 "MALE"
"Gentoo" "Biscoe" 50 15.3 220 5550 "MALE"
"Gentoo" "Biscoe" 50.1 15 225 5000 "MALE"
"Adelie" "Dream" 38.3 19.2 189 3950 "MALE"
"Adelie" "Dream" 39 18.7 185 3650 "MALE"
"Gentoo" "Biscoe" 50 16.3 230 5700 "MALE"
"Gentoo" "Biscoe" 48.5 14.1 220 5300 "MALE"
"Adelie" "Dream" 41.5 18.5 201 4000 "MALE"
"Chinstrap" "Dream" 50.8 18.5 201 4450 "MALE"
"Adelie" "Dream" 40.6 17.2 187 3475 "MALE"
"Adelie" "Biscoe" 37.8 20 190 4250 "MALE"
"Adelie" "Dream" 39.7 17.9 193 4250 "MALE"
"Adelie" "Torgersen" 40.6 19 199 4000 "MALE"
"Adelie" "Dream" 39.6 18.8 190 4600 "MALE"
"Chinstrap" "Dream" 49 19.6 212 4300 "MALE"
"Chinstrap" "Dream" 51 18.8 203 4100 "MALE"
"Gentoo" "Biscoe" 46.2 14.9 221 5300 "MALE"
"Gentoo" "Biscoe" 51.5 16.3 230 5500 "MALE"
"Adelie" "Torgersen" 43.1 19.2 197 3500 "MALE"
"Adelie" "Torgersen" 39.7 18.4 190 3900 "MALE"
"Chinstrap" "Dream" 50.7 19.7 203 4050 "MALE"
"Chinstrap" "Dream" 52.7 19.8 197 3725 "MALE"
"Gentoo" "Biscoe" 55.9 17 228 5600 "MALE"
"Chinstrap" "Dream" 50.8 19 210 4100 "MALE"
"Gentoo" "Biscoe" 48.8 16.2 222 6000 "MALE"
"Adelie" "Torgersen" 42.9 17.6 196 4700 "MALE"
"Chinstrap" "Dream" 52.8 20 205 4550 "MALE"
"Adelie" "Dream" 41.1 19 182 3425 "MALE"
"Adelie" "Biscoe" 40.1 18.9 188 4300 "MALE"
"Gentoo" "Biscoe" 48.7 15.7 208 5350 "MALE"
"Adelie" "Biscoe" 43.2 19 197 4775 "MALE"
"Chinstrap" "Dream" 49.6 18.2 193 3775 "MALE"
"Adelie" "Dream" 39.6 18.1 186 4450 "MALE"
"Chinstrap" "Dream" 52 20.7 210 4800 "MALE"
"Chinstrap" "Dream" 51.3 19.2 193 3650 "MALE"
"Adelie" "Dream" 39.2 18.6 190 4250 "MALE"
"Gentoo" "Biscoe" 49.8 16.8 230 5700 "MALE"
"Chinstrap" "Dream" 51.3 18.2 197 3750 "MALE"
"Chinstrap" "Dream" 51.3 19.9 198 3700 "MALE"
"Gentoo" "Biscoe" 47.3 15.3 222 5250 "MALE"
"Adelie" "Torgersen" 41.1 18.6 189 3325 "MALE"
"Gentoo" "Biscoe" 45 15.4 220 5050 "MALE"
"Gentoo" "Biscoe" 49.9 16.1 213 5400 "MALE"
"Adelie" "Torgersen" 37.3 20.5 199 3775 "MALE"
"Gentoo" "Biscoe" 49.6 16 225 5700 "MALE"
"Chinstrap" "Dream" 52.2 18.8 197 3450 "MALE"
"Gentoo" "Biscoe" 47.8 15 215 5650 "MALE"
"Gentoo" "Biscoe" 49.8 15.9 229 5950 "MALE"
"Adelie" "Torgersen" 42.1 19.1 195 4000 "MALE"
